['5', 'Crime', '2', '3.0', '867039249']
['902', 'Adventure', '120', '4.5', '1211654390']
['524', 'Drama', '122', '4.0', '1321855584']
['524', 'Crime', '122', '4.0', '1321855584']
['63', 'Science Fiction', '125', '2.5', '1128536558']
['63', 'Thriller', '125', '2.5', '1128536558']
['63', 'Mystery', '125', '2.5', '1128536558']
['524', 'Drama', '125', '1.0', '1128536550']
['524', 'Crime', '125', '1.0', '1128536550']
['902', 'Fantasy', '139', '3.0', '1012851098']
['902', 'Science Fiction', '139', '3.0', '1012851098']
['902', 'Adventure', '139', '3.0', '1012851098']
['5', 'Crime', '142', '2.0', '866388486']
['5', 'Comedy', '142', '2.0', '866388486']
['63', 'Science Fiction', '142', '2.0', '866388798']
['63', 'Thriller', '142', '2.0', '866388798']
['63', 'Mystery', '142', '2.0', '866388798']
['524', 'Drama', '150', '3.0', '945065838']
['524', 'Crime', '150', '3.0', '945065838']
['902', 'Fantasy', '150', '2.0', '945841109']
['902', 'Science Fiction', '150', '2.0', '945841109']
['902', 'Adventure', '150', '2.0', '945841109']
['1408', 'Action', '150', '3.0', '945064289']
['1408', 'Adventure', '150', '3.0', '945064289']
['1408', 'Action', '151', '3.5', '1081453590']
['1408', 'Adventure', '151', '3.5', '1081453590']
['1408', 'Action', '153', '4.0', '1088941024']
['1408', 'Adventure', '153', '4.0', '1088941024']
['5', 'Crime', '168', '3.0', '850139631']
['5', 'Comedy', '168', '3.0', '850139631']
['949', 'Action', '174', '4.0', '956976196']
['949', 'Crime', '174', '4.0', '956976196']
['949', 'Drama', '174', '4.0', '956976196']
['949', 'Thriller', '174', '4.0', '956976196']
['5', 'Crime', '179', '3.0', '863713756']
['5', 'Comedy', '179', '3.0', '863713756']
['524', 'Drama', '189', '4.5', '1281649243']
['524', 'Crime', '189', '4.5', '1281649243']
['5', 'Crime', '191', '5.0', '854204045']
['5', 'Comedy', '191', '5.0', '854204045']
['524', 'Drama', '191', '3.0', '854287533']
['524', 'Crime', '191', '3.0', '854287533']
['1408', 'Action', '191', '3.0', '858897091']
['1408', 'Adventure', '191', '3.0', '858897091']
['524', 'Drama', '193', '4.0', '941553559']
['524', 'Crime', '193', '4.0', '941553559']
['1408', 'Action', '193', '5.0', '941553418']
['1408', 'Adventure', '193', '5.0', '941553418']
['5', 'Crime', '196', '4.0', '849688746']
['5', 'Comedy', '196', '4.0', '849688746']
['524', 'Drama', '201', '4.5', '1086725660']
['524', 'Crime', '201', '4.5', '1086725660']
['5', 'Crime', '229', '1.0', '1037136141']
['5', 'Comedy', '229', '1.0', '1037136141']
['902', 'Fantasy', '229', '3.0', '1037028094']
['902', 'Science Fiction', '229', '3.0', '1037028094']
['902', 'Adventure', '229', '3.0', '1037028094']
Took 31.690871953964233 seconds
('5', (['Crime'], ['2', '3.0', '867039249']))
('5', (['Crime'], ['40', '4.0', '862515493']))
('5', (['Crime'], ['54', '5.0', '986221889']))
('5', (['Crime'], ['56', '4.0', '1410105373']))
('5', (['Crime'], ['87', '2.0', '867427886']))
('5', (['Crime'], ['91', '3.0', '838546731']))
('5', (['Crime'], ['93', '3.0', '835061814']))
('5', (['Crime'], ['101', '4.0', '850689925']))
('5', (['Crime'], ['118', '3.0', '859364983']))
('5', (['Crime'], ['142', '2.0', '866388486']))
('5', (['Crime'], ['168', '3.0', '850139631']))
('5', (['Crime'], ['179', '3.0', '863713756']))
('5', (['Crime'], ['191', '5.0', '854204045']))
('5', (['Crime'], ['196', '4.0', '849688746']))
('5', (['Crime'], ['229', '1.0', '1037136141']))
('5', (['Crime'], ['250', '3.0', '995420603']))
('5', (['Crime'], ['261', '3.0', '864374769']))
('5', (['Crime'], ['296', '3.5', '1111987460']))
('5', (['Crime'], ['306', '3.0', '846232643']))
('5', (['Crime'], ['317', '3.0', '855147687']))
('5', (['Crime'], ['332', '2.5', '1282326059']))
('5', (['Crime'], ['338', '3.0', '866123369']))
('5', (['Crime'], ['341', '3.0', '861789778']))
('5', (['Crime'], ['366', '4.0', '862847695']))
('5', (['Crime'], ['370', '2.0', '859484578']))
('5', (['Crime'], ['390', '2.0', '1046071351']))
('5', (['Crime'], ['430', '3.0', '850710860']))
('5', (['Crime'], ['505', '3.5', '1444372496']))
('5', (['Crime'], ['511', '2.0', '854203343']))
('5', (['Crime'], ['518', '3.0', '860932654']))
('5', (['Crime'], ['534', '3.0', '837357436']))
('5', (['Crime'], ['559', '3.5', '1500663833']))
('5', (['Crime'], ['567', '1.0', '1490189819']))
('5', (['Crime'], ['607', '2.5', '1350385482']))
('5', (['Crime'], ['638', '3.0', '840453124']))
('5', (['Crime'], ['673', '4.0', '850396668']))
('5', (['Crime'], ['691', '5.0', '845040423']))
('5', (['Crime'], ['717', '3.0', '859199006']))
('5', (['Crime'], ['727', '2.5', '1478573322']))
('5', (['Crime'], ['741', '3.5', '1120109882']))
('5', (['Crime'], ['742', '4.0', '854170070']))
('5', (['Crime'], ['748', '4.0', '860274582']))
('5', (['Crime'], ['757', '3.0', '864833066']))
('5', (['Crime'], ['760', '3.0', '850476972']))
('5', (['Crime'], ['799', '3.0', '1078325095']))
('5', (['Crime'], ['819', '2.0', '1313791574']))
('5', (['Crime'], ['845', '3.0', '830830236']))
('5', (['Crime'], ['846', '3.5', '1155854685']))
('5', (['Crime'], ['850', '4.0', '1006658914']))
('5', (['Crime'], ['872', '3.0', '859208723']))
('5', (['Crime'], ['875', '2.0', '837652451']))
('5', (['Crime'], ['900', '3.0', '858287300']))
('5', (['Crime'], ['927', '2.0', '1370048034']))
('5', (['Crime'], ['937', '2.5', '1085641749']))
('5', (['Crime'], ['971', '3.0', '1146906517']))
('5', (['Crime'], ['979', '2.0', '862668639']))
('5', (['Crime'], ['989', '3.0', '864319177']))
('5', (['Crime'], ['991', '3.0', '860622330']))
('5', (['Crime'], ['994', '5.0', '867684082']))
('5', (['Crime'], ['1016', '2.0', '854464175']))
('5', (['Crime'], ['1041', '1.0', '1372286721']))
('5', (['Crime'], ['1051', '0.5', '1166289120']))
('5', (['Crime'], ['1055', '1.0', '843773553']))
('5', (['Crime'], ['1066', '4.0', '849087071']))
('5', (['Crime'], ['1095', '2.0', '1185294248']))
('5', (['Crime'], ['1122', '0.5', '1201498099']))
('5', (['Crime'], ['1123', '4.0', '1187749630']))
('5', (['Crime'], ['1131', '4.0', '861566993']))
('5', (['Crime'], ['1151', '4.0', '1486929415']))
('5', (['Crime'], ['1164', '2.0', '867859798']))
('5', (['Crime'], ['1179', '3.0', '850464006']))
('5', (['Crime'], ['1212', '3.0', '863777335']))
('5', (['Crime'], ['1214', '5.0', '838787862']))
('5', (['Crime'], ['1243', '3.0', '1464571338']))
('5', (['Crime'], ['1274', '3.0', '949191900']))
('5', (['Crime'], ['1293', '3.0', '850387984']))
('5', (['Crime'], ['1298', '3.0', '852916092']))
('5', (['Crime'], ['1338', '3.0', '1133298780']))
('5', (['Crime'], ['1346', '3.5', '1275609034']))
('5', (['Crime'], ['1355', '3.0', '1172695096']))
('5', (['Crime'], ['1431', '3.0', '855505379']))
('5', (['Crime'], ['1438', '3.0', '837634348']))
('5', (['Crime'], ['1478', '4.0', '851983115']))
('5', (['Crime'], ['1503', '3.0', '833902877']))
('5', (['Crime'], ['1504', '3.5', '1361644206']))
('5', (['Crime'], ['1509', '3.0', '834995675']))
('5', (['Crime'], ['1531', '3.0', '858110033']))
('5', (['Crime'], ['1532', '5.0', '868840448']))
('5', (['Crime'], ['1579', '3.0', '939081108']))
('5', (['Crime'], ['1591', '5.0', '853544512']))
('5', (['Crime'], ['1602', '3.0', '993347605']))
('5', (['Crime'], ['1641', '3.5', '1172615612']))
('5', (['Crime'], ['1651', '3.5', '1466941964']))
('5', (['Crime'], ['1663', '3.0', '839626182']))
('5', (['Crime'], ['1671', '3.0', '1078948885']))
('5', (['Crime'], ['1700', '3.0', '851786624']))
('5', (['Crime'], ['1709', '3.0', '1499124580']))
('5', (['Crime'], ['1710', '3.0', '1396013420']))
('5', (['Crime'], ['1740', '3.0', '866637236']))
('5', (['Crime'], ['1764', '4.0', '1073237078']))
('5', (['Crime'], ['1783', '2.0', '990196863']))
('5', (['Crime'], ['1802', '3.0', '1138588833']))
('5', (['Crime'], ['1808', '4.0', '851033630']))
('5', (['Crime'], ['1817', '3.5', '1117547889']))
('5', (['Crime'], ['1832', '2.0', '1105949467']))
('5', (['Crime'], ['1836', '1.0', '1312327254']))
('5', (['Crime'], ['1865', '1.0', '866303429']))
('5', (['Crime'], ['1878', '4.0', '1191327920']))
('5', (['Crime'], ['1899', '3.0', '859900514']))
('5', (['Crime'], ['1914', '3.0', '858828404']))
('5', (['Crime'], ['1923', '3.0', '858334329']))
('5', (['Crime'], ['1932', '1.0', '1186725066']))
('5', (['Crime'], ['1958', '3.5', '1486781276']))
('5', (['Crime'], ['1961', '3.0', '865595243']))
('5', (['Crime'], ['1974', '3.0', '841560245']))
('5', (['Crime'], ['2010', '0.5', '1478993491']))
('5', (['Crime'], ['2014', '5.0', '835715912']))
('5', (['Crime'], ['2016', '3.0', '1230322597']))
('5', (['Crime'], ['2022', '5.0', '1347818979']))
('5', (['Crime'], ['2035', '5.0', '849033070']))
Took 162.12894439697266 seconds
